id,level_id,strand_id,book_code,title,slug,book_type,sequence_position,page_count,word_count,new_hfw,new_phonics,new_morpheme,comprehension_focus,reviewed_hfws,reviewed_phonics,teaching_summary,source_master,cover_image_url,pdf_url,audio_url,is_active
1,1,1,S-1-01,Sun,s-1-01-sun,Soundable,1,8,8,,s /s/,,,,,s /s/,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/s-1-01.webp,/assets/placeholders/pdfs/s-1-01.pdf,/assets/placeholders/audio/s-1-01.mp3,1
2,1,2,H-1-A,A Pot,h-1-a-a-pot,Hafwas Book,2,8,16,a,,,,,,a,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/h-1-a.webp,/assets/placeholders/pdfs/h-1-a.pdf,/assets/placeholders/audio/h-1-a.mp3,1
3,1,3,T-1-01,A Pan,t-1-01-a-pan,Tafiya Fiction,3,8,16,,,,Identify objects,,,Identify objects,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/t-1-01.webp,/assets/placeholders/pdfs/t-1-01.pdf,/assets/placeholders/audio/t-1-01.mp3,1
4,1,1,S-1-02,Ant,s-1-02-ant,Soundable,4,8,8,,a /æ/,,,a,s,a /æ/,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/s-1-02.webp,/assets/placeholders/pdfs/s-1-02.pdf,/assets/placeholders/audio/s-1-02.mp3,1
5,1,2,H-1-B,The Pot,h-1-b-the-pot,Hafwas Book,5,8,16,the,,,,a,,the,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/h-1-b.webp,/assets/placeholders/pdfs/h-1-b.pdf,/assets/placeholders/audio/h-1-b.mp3,1
6,1,3,T-1-02,The Mat,t-1-02-the-mat,Tafiya Fiction,6,8,16,,,,Identify objects,,,Identify objects,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/t-1-02.webp,/assets/placeholders/pdfs/t-1-02.pdf,/assets/placeholders/audio/t-1-02.mp3,1
7,1,1,S-1-03,The Tap,s-1-03-the-tap,Soundable,7,8,8,,t /t/,,,"a, the","s, a",t /t/,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/s-1-03.webp,/assets/placeholders/pdfs/s-1-03.pdf,/assets/placeholders/audio/s-1-03.mp3,1
8,1,1,S-1-04,Pat the Tap,s-1-04-pat-the-tap,Soundable,8,8,20,,p /p/,,,"a, the","s, a, t",p /p/,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/s-1-04.webp,/assets/placeholders/pdfs/s-1-04.pdf,/assets/placeholders/audio/s-1-04.mp3,1
9,1,1,S-1-05,Tip. Sip.,s-1-05-tip-sip,Soundable,9,8,21,,i /ɪ/,,,"a, the, I","s, a, t, p",i /ɪ/,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/s-1-05.webp,/assets/placeholders/pdfs/s-1-05.pdf,/assets/placeholders/audio/s-1-05.mp3,1
10,1,2,H-1-C,I Sit,h-1-c-i-sit,Hafwas Book,10,8,23,I,,,,"a, the",,I,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/h-1-c.webp,/assets/placeholders/pdfs/h-1-c.pdf,/assets/placeholders/audio/h-1-c.mp3,1
11,1,3,T-1-03,I Tap the Tap,t-1-03-i-tap-the-tap,Tafiya Fiction,11,8,26,,,,Follow actions,,,Follow actions,L1_MASTER_v1_13_PG1.csv,/assets/placeholders/covers/t-1-03.webp,/assets/placeholders/pdfs/t-1-03.pdf,/assets/placeholders/audio/t-1-03.mp3,1
